uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
DNMT3B-D000086382	0	3	DNMT3B-D000086382	DNMT3B	D000086382	COVID-19	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	142503	D000081207	Primary Immunodeficiency Diseases	OMIM	NA	Immunodeficiency-centromeric instability-facial anomalies syndrome 1, 242860 (3), Autosomal recessive	https://omim.org/entry/602900	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	infection, respiratory	gwas	unsupported target	II
DNMT3B-D006519	0.712	3	DNMT3B-D006519	DNMT3B	D006519	Hepatitis, Alcoholic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	142531	D014029	Tobacco Use Disorder	OTG	NA	Nicotine dependence	https://genetics.opentargets.org/study/GCST008496	2017	NA	NA	0.440323844345782	0.63	1	Phase II	0.63	1	GWAS	0.032	NA	1	digestive	gwas	unsupported target	II
DNMT3B-D011565	0.485	3	DNMT3B-D011565	DNMT3B	D011565	Psoriasis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	142505	D006201	Hair Diseases	OTG	NA	Balding type 1	https://genetics.opentargets.org/study/GCST007038	2018	NA	NA	0.432322968382545	0.64	1	Phase II	0.64	1	GWAS	NA	NA	2	dermatology	both	unsupported target	II
DNMT3B-D058186	0.857	3	DNMT3B-D058186	DNMT3B	D058186	Acute Kidney Injury	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	142538	D051437	Renal Insufficiency	OTG	NA	Serum creatinine levels	https://genetics.opentargets.org/study/GCST90018979	2021	NA	NA	0.414724645228486	0.61	1	Phase II	0.61	1	GWAS	0.0101	NA	1	other	gwas	genetically supported target	II
DNMT3B-D065626	0.601	3	DNMT3B-D065626	DNMT3B	D065626	Non-alcoholic Fatty Liver Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	142517	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alanine transaminase)	https://genetics.opentargets.org/study/GCST90013405	2021	NA	NA	0.408400475498613	0.54	1	Phase II	0.54	1	GWAS	0.00237968	NA	1	digestive	both	unsupported target	II
DOT1L-D009190	0.551	2	DOT1L-D009190	DOT1L	D009190	Myelodysplastic Syndromes	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	143869	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST010083	2020	NA	NA	0.480220791168353	0.62	1	Phase I	0.62	1	GWAS	0.029	NA	1	hematology	omim/tcga	unsupported target	I
DOT1L-D015464	0.496	2	DOT1L-D015464	DOT1L	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	143869	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST010083	2020	NA	NA	0.480220791168353	0.62	1	Phase I	0.62	1	GWAS	0.029	NA	1	oncology	both	unsupported target	I
DOT1L-D015470	0.241	2	DOT1L-D015470	DOT1L	D015470	Leukemia, Myeloid, Acute	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	143869	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST010083	2020	NA	NA	0.480220791168353	0.62	1	Phase I	0.62	1	GWAS	0.029	NA	1	oncology	both	unsupported target	I
DOT1L-D054198	0.47	2	DOT1L-D054198	DOT1L	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	143869	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST010083	2020	NA	NA	0.480220791168353	0.62	1	Phase I	0.62	1	GWAS	0.029	NA	1	oncology	both	unsupported target	I
DPEP1-D000086382	0	3	DPEP1-D000086382	DPEP1	D000086382	COVID-19	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	144024	D001827	Body Height	OTG	NA	Height	https://genetics.opentargets.org/study/GCST007841	2018	NA	NA	0.0769030579050098	0.71	1	Phase II	0.71	1	GWAS	NA	NA	1	infection, respiratory	gwas	unsupported target	II
