uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	source_name	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	phase
A2M-D002545	0.368	4	A2M-D002545	A2M	D002545	Brain Ischemia	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	neurology, cardiovascular	omim/tcga	unsupported target	III
A2M-D016491	0.198	4	A2M-D016491	A2M	D016491	Peripheral Vascular Diseases	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	cardiovascular	both	unsupported target	III
A2M-D020521	0.381	4	A2M-D020521	A2M	D020521	Stroke	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	67	D054222	Cobblestone Lissencephaly	OTG	NA	Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021	NA	NA	0.512621990891347	0.82	1	Phase III	0.82	1	GWAS	NA	NA	3	neurology, cardiovascular	gwas	unsupported target	III
AAK1-D009437	0.235	3	AAK1-D009437	AAK1	D009437	Neuralgia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	605	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021	NA	NA	0.114700921240431	0.77	1	Phase II	0.77	1	GWAS	0.0202474	NA	1	neurology, signs/symptoms	both	unsupported target	II
AAK1-D051474	0.221	3	AAK1-D051474	AAK1	D051474	Neuralgia, Postherpetic	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	605	D006402	Hematologic Diseases	OTG	NA	Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021	NA	NA	0.114700921240431	0.77	1	Phase II	0.77	1	GWAS	0.0202474	NA	1	neurology, signs/symptoms	gwas	unsupported target	II
ABAT-D000544	0.218	3	ABAT-D000544	ABAT	D000544	Alzheimer Disease	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	neurology, psychiatry	both	unsupported target	II
ABAT-D005879	0.355	3	ABAT-D005879	ABAT	D005879	Tourette Syndrome	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	neurology, congenital, psychiatry	omim/tcga	unsupported target	II
ABAT-D013036	0.213	5	ABAT-D013036	ABAT	D013036	Spasms, Infantile	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2019	1014	D000592	Amino Acid Metabolism, Inborn Errors	OMIM	NA	GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	neurology	both	unsupported target	Launched
ABCA1-D006949	1	2	ABCA1-D006949	ABCA1	D006949	Hyperlipidemias	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	1153	D006949	Hyperlipidemias	OTG	NA	Hyperlipidemia	https://genetics.opentargets.org/study/SAIGE_272_1	2018	NA	NA	0.122148781752203	0.81	1	Phase I	0.81	1	GWAS	NA	1.0744404344866745	1	metabolic	both	genetically supported target	I
ABCA1-D008060	0.774	3	ABCA1-D008060	ABCA1	D008060	Lipodystrophy	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1249	D052439	Lipid Metabolism Disorders	OTG	NA	Disorders of lipoid metabolism	https://genetics.opentargets.org/study/SAIGE_272	2018	NA	NA	0.122148781752203	0.81	1	Phase II	0.81	1	GWAS	NA	1.0749777890313592	2	dermatology, metabolic	omim/tcga	unsupported target	II
ABCA1-D008103	0.681	4	ABCA1-D008103	ABCA1	D008103	Liver Cirrhosis	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase III	0.76	1	GWAS	NA	NA	2	digestive, signs/symptoms	gwas	unsupported target	III
ABCA1-D042882	0.488	3	ABCA1-D042882	ABCA1	D042882	Gallstones	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase II	0.76	1	GWAS	NA	NA	2	digestive, signs/symptoms	both	unsupported target	II
ABCA1-D065626	0.601	4	ABCA1-D065626	ABCA1	D065626	Non-alcoholic Fatty Liver Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	1176	D008107	Liver Diseases	OTG	NA	Liver enzyme levels (alkaline phosphatase)	https://genetics.opentargets.org/study/GCST90013406	2021	NA	NA	0.333181759126933	0.76	1	Phase III	0.76	1	GWAS	NA	NA	2	digestive	both	unsupported target	III
ABCB1-D001943	0.035	5	ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1779	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020	NA	NA	0.180548336798337	0.71	1	Launched	0.71	1	GWAS	0.0158	NA	3	oncology	both	unsupported target	Launched
ABCB1-D002289	0.033	5	ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1779	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020	NA	NA	0.180548336798337	0.71	1	Launched	0.71	1	GWAS	0.0158	NA	3	oncology	both	unsupported target	Launched
ABCB1-D006086	0.033	4	ABCB1-D006086	ABCB1	D006086	Graft vs Host Disease	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	1779	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020	NA	NA	0.180548336798337	0.71	1	Phase III	0.71	1	GWAS	0.0158	NA	3	immune	gwas	unsupported target	III
ABCB1-D007938	0.037	5	ABCB1-D007938	ABCB1	D007938	Leukemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1779	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020	NA	NA	0.180548336798337	0.71	1	Launched	0.71	1	GWAS	0.0158	NA	3	oncology	omim/tcga	unsupported target	Launched
ABCB1-D009369	0.044	5	ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	1779	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST90000025	2020	NA	NA	0.180548336798337	0.71	1	Launched	0.71	1	GWAS	0.0158	NA	3	oncology	gwas	unsupported target	Launched
ABCC1-D003424	0.241	2	ABCC1-D003424	ABCC1	D003424	Crohn Disease	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase I	0.78	1	GWAS	0.0179439999999999	NA	1	digestive	both	unsupported target	I
ABCC1-D005767	0.317	3	ABCC1-D005767	ABCC1	D005767	Gastrointestinal Diseases	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	GWAS	0.0179439999999999	NA	2	digestive	gwas	unsupported target	II
ABCC1-D008113	0.246	3	ABCC1-D008113	ABCC1	D008113	Liver Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	GWAS	0.0179439999999999	NA	1	oncology	gwas	unsupported target	II
ABCC1-D010190	0.582	3	ABCC1-D010190	ABCC1	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2213	D003920	Diabetes Mellitus	OTG	NA	Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90018958	2021	NA	NA	0.252763739734681	0.77	1	Phase II	0.77	1	GWAS	0.02	NA	2	oncology	gwas	unsupported target	II
ABCC1-D015179	0.254	3	ABCC1-D015179	ABCC1	D015179	Colorectal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	2223	D006402	Hematologic Diseases	OTG	NA	Basophil count	https://genetics.opentargets.org/study/GCST90002292	2020	NA	NA	0.653976091476091	0.78	1	Phase II	0.78	1	GWAS	0.0179439999999999	NA	2	oncology	both	unsupported target	II
ABCC8-D002545	0.227	4	ABCC8-D002545	ABCC8	D002545	Brain Ischemia	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	2470	D003920	Diabetes Mellitus	OMIM	NA	Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	OMIM	NA	NA	2	neurology, cardiovascular	omim/tcga	unsupported target	III
ABCC8-D003920	1	5	ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2019	2470	D003920	Diabetes Mellitus	OMIM	NA	Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	metabolic, endocrine	both	genetically supported target	Launched
ABCC8-D003924	1	5	ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2478	D003924	Diabetes Mellitus, Type 2	OMIM	NA	Diabetes mellitus, noninsulin-dependent, 125853 (3), Autosomal dominant	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	metabolic, endocrine	both	genetically supported target	Launched
ABCC8-D009203	0.355	2	ABCC8-D009203	ABCC8	D009203	Myocardial Infarction	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	2465	D001724	Birth Weight	Genebass	missenseLC skat continuous both_sexes irnt	Birth weight	https://genebass.org/gene/ENSG00000006071/phenotype/continuous-20022-both_sexes-NA-irnt?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021	NA	NA	NA	NA	NA	Phase I	NA	NA	GWAS	0.0018439	NA	1	cardiovascular, signs/symptoms	gwas	unsupported target	I
ABCC8-D013345	0.345	2	ABCC8-D013345	ABCC8	D013345	Subarachnoid Hemorrhage	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	2465	D001724	Birth Weight	Genebass	missenseLC skat continuous both_sexes irnt	Birth weight	https://genebass.org/gene/ENSG00000006071/phenotype/continuous-20022-both_sexes-NA-irnt?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021	NA	NA	NA	NA	NA	Phase I	NA	NA	GWAS	0.0018439	NA	1	neurology, cardiovascular, signs/symptoms	gwas	unsupported target	I
ABCC8-D020521	0.239	4	ABCC8-D020521	ABCC8	D020521	Stroke	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	2470	D003920	Diabetes Mellitus	OMIM	NA	Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3), Autosomal dominant, Autosomal recessive	https://omim.org/entry/600509	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	OMIM	NA	NA	2	neurology, cardiovascular	gwas	unsupported target	III
ABCC9-D000505	0.595	5	ABCC9-D000505	ABCC9	D000505	Alopecia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2525	D006332	Cardiomegaly	OMIM	NA	Hypertrichotic osteochondrodysplasia (Cantu syndrome), 239850 (3), Autosomal dominant	https://omim.org/entry/601439	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	dermatology, signs/symptoms	both	unsupported target	Launched
ABCC9-D000506	0.573	5	ABCC9-D000506	ABCC9	D000506	Alopecia Areata	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	2525	D006332	Cardiomegaly	OMIM	NA	Hypertrichotic osteochondrodysplasia (Cantu syndrome), 239850 (3), Autosomal dominant	https://omim.org/entry/601439	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	dermatology	both	unsupported target	Launched
ABCD1-D000326	1	5	ABCD1-D000326	ABCD1	D000326	Adrenoleukodystrophy	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Launched	NA	NA	OMIM	NA	NA	3	neurology, congenital, metabolic, endocrine	both	genetically supported target	Launched
ABCD1-D006937	0.404	3	ABCD1-D006937	ABCD1	D006937	Hypercholesterolemia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	1	metabolic	both	unsupported target	II
ABCD1-D065626	0.179	3	ABCD1-D065626	ABCD1	D065626	Non-alcoholic Fatty Liver Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	2534	D000326	Adrenoleukodystrophy	OMIM	NA	Adrenoleukodystrophy, 300100 (3), X-linked recessive	https://omim.org/entry/300371	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	1	digestive	both	unsupported target	II
ABL1-D000086382	0	4	ABL1-D000086382	ABL1	D000086382	COVID-19	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3864	D000428	Alcohol Drinking	Genebass	pLoF skat continuous both_sexes	Frequency of memory loss due to drinking alcohol in last year	https://genebass.org/gene/ENSG00000097007/phenotype/continuous-20408-both_sexes-NA-NA?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021	NA	NA	NA	NA	NA	Phase III	NA	NA	GWAS	0.032491	NA	2	infection, respiratory	gwas	unsupported target	III
ABL1-D000544	0.337	4	ABL1-D000544	ABL1	D000544	Alzheimer Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3864	D000428	Alcohol Drinking	Genebass	pLoF skat continuous both_sexes	Frequency of memory loss due to drinking alcohol in last year	https://genebass.org/gene/ENSG00000097007/phenotype/continuous-20408-both_sexes-NA-NA?burdenSet=pLoF&phewasOpts=1&resultLayout=full	2021	NA	NA	NA	NA	NA	Phase III	NA	NA	GWAS	0.032491	NA	2	neurology, psychiatry	both	unsupported target	III
ABL1-D001650	0.225	3	ABL1-D001650	ABL1	D001650	Bile Duct Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D001932	0.247	3	ABL1-D001932	ABL1	D001932	Brain Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D001943	0.249	3	ABL1-D001943	ABL1	D001943	Breast Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D002289	0.232	3	ABL1-D002289	ABL1	D002289	Carcinoma, Non-Small-Cell Lung	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D004938	0.233	3	ABL1-D004938	ABL1	D004938	Esophageal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D005909	0.233	3	ABL1-D005909	ABL1	D005909	Glioblastoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	gwas	unsupported target	II
ABL1-D006258	0.253	3	ABL1-D006258	ABL1	D006258	Head and Neck Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D006976	0.392	4	ABL1-D006976	ABL1	D006976	Hypertension, Pulmonary	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3875	D006330	Heart Defects, Congenital	OMIM	NA	Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant	https://omim.org/entry/189980	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	OMIM	NA	NA	2	respiratory, cardiovascular	omim/tcga	unsupported target	III
ABL1-D007680	0.243	3	ABL1-D007680	ABL1	D007680	Kidney Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D007690	0.402	3	ABL1-D007690	ABL1	D007690	Polycystic Kidney Diseases	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3875	D006330	Heart Defects, Congenital	OMIM	NA	Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant	https://omim.org/entry/189980	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	OMIM	NA	NA	2	congenital	both	unsupported target	II
ABL1-D007938	0.268	3	ABL1-D007938	ABL1	D007938	Leukemia	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	omim/tcga	unsupported target	II
ABL1-D008415	0.263	3	ABL1-D008415	ABL1	D008415	Mastocytosis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D008527	0.226	3	ABL1-D008527	ABL1	D008527	Medulloblastoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	gwas	unsupported target	II
ABL1-D008545	0.252	3	ABL1-D008545	ABL1	D008545	Melanoma	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D009190	0.547	3	ABL1-D009190	ABL1	D009190	Myelodysplastic Syndromes	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	hematology	omim/tcga	unsupported target	II
ABL1-D009369	0.332	3	ABL1-D009369	ABL1	D009369	Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	gwas	unsupported target	II
ABL1-D010051	0.238	3	ABL1-D010051	ABL1	D010051	Ovarian Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	gwas	unsupported target	II
ABL1-D010190	0.239	3	ABL1-D010190	ABL1	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	gwas	unsupported target	II
ABL1-D010300	0.251	4	ABL1-D010300	ABL1	D010300	Parkinson Disease	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase III	0.75	1	GWAS	NA	NA	2	neurology	both	unsupported target	III
ABL1-D011087	0.503	3	ABL1-D011087	ABL1	D011087	Polycythemia Vera	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D011471	0.239	4	ABL1-D011471	ABL1	D011471	Prostatic Neoplasms	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase III	0.75	1	GWAS	NA	NA	3	oncology	both	unsupported target	III
ABL1-D013274	0.238	3	ABL1-D013274	ABL1	D013274	Stomach Neoplasms	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	1	oncology	both	unsupported target	II
ABL1-D015179	0.253	3	ABL1-D015179	ABL1	D015179	Colorectal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D015451	0.455	3	ABL1-D015451	ABL1	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Phase II	0.75	1	GWAS	NA	NA	2	oncology	both	unsupported target	II
ABL1-D015464	0.494	5	ABL1-D015464	ABL1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Launched	0.75	1	GWAS	NA	NA	3	oncology	both	unsupported target	Launched
ABL1-D015470	0.24	5	ABL1-D015470	ABL1	D015470	Leukemia, Myeloid, Acute	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	3876	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST007070	2018	NA	NA	0.37371592932475	0.75	1	Launched	0.75	1	GWAS	NA	NA	3	oncology	both	unsupported target	Launched
